Accession,Description,Genome Length (KB),molGC (%),Genus,Sub-family,Family,Host,Genome composition,Phage Species
ON528722,Shigella phage ESh9,39,51,Teetrevirus,Studiervirinae,Autographiviridae,Shigella,dsDNA,vOTU_6192
ON528723,Shigella phage ESh10,39,51,Teetrevirus,Studiervirinae,Autographiviridae,Shigella,dsDNA,vOTU_6229
OP917825,Shigella phage CT02,39,51,Teetrevirus,Studiervirinae,Autographiviridae,Shigella,dsDNA,vOTU_6229
OQ031073,Shigella phage SFP21B,39,53,Kayfunavirus,Studiervirinae,Autographiviridae,Shigella,dsDNA,vOTU_6520
OQ031074,Shigella phage SFP21A,39,53,Kayfunavirus,Studiervirinae,Autographiviridae,Shigella,dsDNA,vOTU_6116
OQ031076,Shigella phage SFP20,39,53,Kayfunavirus,Studiervirinae,Autographiviridae,Shigella,dsDNA,vOTU_6460
KP010268,Shigella phage SfMu,37,52,Muvirus,Unclassified,Unclassified,Shigella,dsDNA,vOTU_6993
NC_027382,Shigella phage SfMu,37,52,Muvirus,Unclassified,Unclassified,Shigella,dsDNA,vOTU_6993
MN266305,Shigella phage SGF3,5,45,Sinsheimervirus,Bullavirinae,Microviridae,Shigella,ssDNA,vOTU_9214
OM869575,Sigmofec virus UA08Rod_4138,7,37,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8536
OM869576,Sigmofec virus UA08Rod_4124,7,38,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8530
OM869577,Sigmofec virus UA08Rod_4104,7,41,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8523
OM869578,Sigmofec virus UA08Rod_4043,7,38,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8505
OM869579,Sigmofec virus UA08Rod_3978,7,43,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8489
OM869580,Sigmofec virus UA08Rod_3874,7,33,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8465
OM869548,Sigmofec virus UA08Rod_5397,6,39,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9209
OM869549,Sigmofec virus UA08Rod_5365,6,40,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9199
OM869550,Sigmofec virus UA08Rod_5349,6,50,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9193
OM869551,Sigmofec virus UA08Rod_5342,6,41,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9191
OM869552,Sigmofec virus UA08Rod_5336,6,32,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9189
OM869553,Sigmofec virus UA08Rod_5307,6,43,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9166
OM869554,Sigmofec virus UA08Rod_5306,6,44,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9165
OM869555,Sigmofec virus UA08Rod_5228,6,35,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9131
OM869556,Sigmofec virus UA08Rod_5092,6,41,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9053
OM869557,Sigmofec virus UA08Rod_5080,6,36,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9047
OM869558,Sigmofec virus UA08Rod_4967,6,48,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8985
OM869559,Sigmofec virus UA08Rod_4888,6,47,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8942
OM869560,Sigmofec virus UA08Rod_4822,6,46,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8901
OM869561,Sigmofec virus UA08Rod_4820,6,46,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8900
OM869562,Sigmofec virus UA08Rod_4774,6,43,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8881
OM869563,Sigmofec virus UA08Rod_4769,6,33,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8877
OM869564,Sigmofec virus UA08Rod_4687,6,36,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8824
OM869565,Sigmofec virus UA08Rod_4686,6,33,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8823
OM869566,Sigmofec virus UA08Rod_4626,6,41,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8783
OM869567,Sigmofec virus UA08Rod_4577,6,40,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8749
OM869568,Sigmofec virus UA08Rod_4527,6,33,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8726
OM869569,Sigmofec virus UA08Rod_4510,6,34,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8709
OM869570,Sigmofec virus UA08Rod_4411,6,38,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8644
OM869571,Sigmofec virus UA08Rod_4343,6,36,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8614
OM869572,Sigmofec virus UA08Rod_4331,6,34,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8611
OM869573,Sigmofec virus UA08Rod_4301,6,34,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8594
OM869574,Sigmofec virus UA08Rod_4258,6,40,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_8578
OM869495,Sigmofec virus UA08Rod_7256,5,42,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_10389
OM869496,Sigmofec virus UA08Rod_6997,5,36,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_10207
OM869497,Sigmofec virus UA08Rod_6951,5,41,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_10188
OM869498,Sigmofec virus UA08Rod_6926,5,42,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_10171
OM869499,Sigmofec virus UA08Rod_6800,5,41,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_10068
OM869500,Sigmofec virus UA08Rod_6752,5,36,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_10040
OM869501,Sigmofec virus UA08Rod_6727,5,46,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_10013
OM869502,Sigmofec virus UA08Rod_6706,5,39,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9992
OM869503,Sigmofec virus UA08Rod_6641,5,42,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9952
OM869504,Sigmofec virus UA08Rod_6581,5,42,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9925
OM869505,Sigmofec virus UA08Rod_6554,5,42,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9900
OM869506,Sigmofec virus UA08Rod_6521,5,45,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9881
OM869507,Sigmofec virus UA08Rod_6488,5,43,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9866
OM869508,Sigmofec virus UA08Rod_6476,5,47,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9858
OM869509,Sigmofec virus UA08Rod_6451,5,33,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9848
OM869510,Sigmofec virus UA08Rod_6404,5,37,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9807
OM869511,Sigmofec virus UA08Rod_6403,5,41,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9806
OM869512,Sigmofec virus UA08Rod_6396,5,40,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9801
OM869513,Sigmofec virus UA08Rod_6251,5,35,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9701
OM869514,Sigmofec virus UA08Rod_6219,5,40,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9679
OM869515,Sigmofec virus UA08Rod_6151,5,49,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9627
OM869516,Sigmofec virus UA08Rod_6143,5,39,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9622
OM869517,Sigmofec virus UA08Rod_6125,5,37,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9604
OM869518,Sigmofec virus UA08Rod_6120,5,42,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9597
OM869519,Sigmofec virus UA08Rod_6110,5,37,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9595
OM869520,Sigmofec virus UA08Rod_6083,5,46,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9582
OM869521,Sigmofec virus UA08Rod_6079,5,41,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9576
OM869522,Sigmofec virus UA08Rod_6051,5,42,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9558
OM869523,Sigmofec virus UA08Rod_6044,5,32,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9552
OM869524,Sigmofec virus UA08Rod_5936,5,47,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9493
OM869525,Sigmofec virus UA08Rod_5935,5,48,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9492
OM869526,Sigmofec virus UA08Rod_5899,5,46,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9462
OM869527,Sigmofec virus UA08Rod_5898,5,42,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9469
OM869528,Sigmofec virus UA08Rod_5894,5,45,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9467
OM869529,Sigmofec virus UA08Rod_5838,5,37,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9445
OM869530,Sigmofec virus UA08Rod_5824,5,44,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9437
OM869531,Sigmofec virus UA08Rod_5764,5,47,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9403
OM869532,Sigmofec virus UA08Rod_5746,5,33,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9394
OM869533,Sigmofec virus UA08Rod_5712,5,46,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9370
OM869534,Sigmofec virus UA08Rod_5707,5,45,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9364
OM869535,Sigmofec virus UA08Rod_5692,5,41,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9358
OM869536,Sigmofec virus UA08Rod_5667,5,41,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9347
OM869537,Sigmofec virus UA08Rod_5658,5,43,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9342
OM869538,Sigmofec virus UA08Rod_5645,5,44,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9338
OM869539,Sigmofec virus UA08Rod_5625,5,38,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9333
OM869540,Sigmofec virus UA08Rod_5614,5,35,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9326
OM869541,Sigmofec virus UA08Rod_5594,5,51,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9314
OM869542,Sigmofec virus UA08Rod_5550,5,34,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9290
OM869543,Sigmofec virus UA08Rod_5539,5,50,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9281
OM869544,Sigmofec virus UA08Rod_5530,5,39,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9271
OM869545,Sigmofec virus UA08Rod_5492,5,44,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9261
OM869546,Sigmofec virus UA08Rod_5448,5,43,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9244
OM869547,Sigmofec virus UA08Rod_5433,5,47,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_9234
OM869493,Sigmofec virus UA08Rod_7382,4,33,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_10461
OM869494,Sigmofec virus UA08Rod_7365,4,44,Unclassified,Unclassified,Microviridae,Sigmofec,ssDNA,vOTU_10447
FJ591093,Silicibacter phage DSS3phi2,75,48,Aorunvirus,Rhodovirinae,Schitoviridae,Silicibacter,dsDNA,vOTU_1604
NC_012697,Silicibacter phage DSS3phi2,75,48,Aorunvirus,Rhodovirinae,Schitoviridae,Silicibacter,dsDNA,vOTU_1604
KR052482,Sinorhizobium phage phiN3,207,49,Emdodecavirus,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_0221
NC_028945,Sinorhizobium phage phiN3,207,49,Emdodecavirus,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_0221
KF381361,Sinorhizobium phage phiM12,195,49,Emdodecavirus,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_0221
NC_027204,Sinorhizobium phage phiM12,195,49,Emdodecavirus,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_0221
KR052480,Sinorhizobium phage phiM7,188,49,Emdodecavirus,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_0221
KR052481,Sinorhizobium phage phiM19,188,49,Emdodecavirus,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_0221
NC_041929,Sinorhizobium phage phiM7,188,49,Emdodecavirus,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_0221
KP881232,Sinorhizobium phage phiM9,149,50,Emnonavirus,Unclassified,Pootjesviridae,Sinorhizobium,dsDNA,vOTU_0638
NC_028676,Sinorhizobium phage phiM9,149,50,Emnonavirus,Unclassified,Pootjesviridae,Sinorhizobium,dsDNA,vOTU_0638
MN228696,Sinorhizobium phage ort11,75,44,Huelvavirus,Unclassified,Schitoviridae,Sinorhizobium,dsDNA,vOTU_1587
NC_049469,Sinorhizobium phage ort11,75,44,Huelvavirus,Unclassified,Schitoviridae,Sinorhizobium,dsDNA,vOTU_1587
MH700630,Sinorhizobium phage phiM6,68,43,Unclassified,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_1809
OP484858,Sinorhizobium phage NV1.1.1,64,59,Unclassified,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_1935
OP484857,Sinorhizobium phage AP-16-3,61,59,Unclassified,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_2124
AF448724,Sinorhizobium phage PBC5,57,61,Unclassified,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_2518
NC_003324,Sinorhizobium phage PBC5,57,61,Unclassified,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_2518
MG214783,Sinorhizobium phage HMSP1-Susan,52,53,Unclassified,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_3110
KJ743987,Sinorhizobium phage phiLM21,51,61,Unclassified,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_3262
NC_029046,Sinorhizobium phage phiLM21,51,61,Unclassified,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_3262
MF614627,Sinorhizobium phage phi2LM21,47,61,Unclassified,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_3975
MF074189,Sinorhizobium phage phiM5,44,61,Unclassified,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_4703
MF614628,Sinorhizobium phage phi3LM21,41,61,Unclassified,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_5678
OR786373,Sinorhizobium phage Aussie,39,61,Unclassified,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_6623
OR786374,Sinorhizobium phage StopSmel,38,62,Unclassified,Unclassified,Unclassified,Sinorhizobium,dsDNA,vOTU_6877
KR011061,Skermania phage SPI1,56,68,Unclassified,Unclassified,Unclassified,Skermania,dsDNA,vOTU_2657
AP009146,Sodalis phage phiSG1,52,51,Unclassified,Unclassified,Unclassified,Sodalis,dsDNA,vOTU_3090
DQ785801,Sodalis phage phiSG1,52,51,Unclassified,Unclassified,Unclassified,Sodalis,dsDNA,vOTU_3090
NC_007902,Sodalis phage phiSG1,52,51,Unclassified,Unclassified,Unclassified,Sodalis,dsDNA,vOTU_3090
GQ502199,Sodalis phage SO-1,45,55,Dhillonvirus,Unclassified,Unclassified,Sodalis,dsDNA,vOTU_4281
NC_013600,Sodalis phage SO-1,45,55,Dhillonvirus,Unclassified,Unclassified,Sodalis,dsDNA,vOTU_4281
MZ503613,Solobacterium phage SMO_1P,35,38,Unclassified,Unclassified,Unclassified,Solobacterium,dsDNA,vOTU_7267
ON165687,Sphaerotilus phage SN1,62,64,Yuavirus,Rabinowitzvirinae,Mesyanzhinovviridae,Sphaerotilus,dsDNA,vOTU_2013
MN844877,Sphaerotilus phage vB_SnaP-R1,42,62,Unclassified,Krylovirinae,Autographiviridae,Sphaerotilus,dsDNA,vOTU_5656
KY629563,Sphingobium phage Lacusarx,130,60,Lacusarxvirus,Unclassified,Unclassified,Sphingobium,dsDNA,vOTU_0848
NC_041927,Sphingobium phage Lacusarx,130,60,Lacusarxvirus,Unclassified,Unclassified,Sphingobium,dsDNA,vOTU_0848
JQ362498,Sphingomonas phage PAU,219,31,Unclassified,Unclassified,Unclassified,Sphingomonas,dsDNA,vOTU_0201
NC_019521,Sphingomonas phage PAU,219,31,Unclassified,Unclassified,Unclassified,Sphingomonas,dsDNA,vOTU_0201
MN820898,Sphingomonas phage vB_StuS_MMDA13,64,59,Unclassified,Unclassified,Unclassified,Sphingomonas,dsDNA,vOTU_1955
NC_072503,Sphingomonas phage vB_StuS_MMDA13,64,59,Unclassified,Unclassified,Unclassified,Sphingomonas,dsDNA,vOTU_1955
OR225223,Sphingomonas phage Carli,57,63,Unclassified,Unclassified,Unclassified,Sphingomonas,dsDNA,vOTU_2523
OR225224,Sphingomonas phage Birtae,46,57,Unclassified,Unclassified,Unclassified,Sphingomonas,dsDNA,vOTU_4167
MN734438,Sphingomonas phage Lucius,44,56,Unclassified,Unclassified,Unclassified,Sphingomonas,dsDNA,vOTU_4643
NC_073025,Sphingomonas phage Lucius,44,56,Unclassified,Unclassified,Unclassified,Sphingomonas,dsDNA,vOTU_4643
OR225222,Sphingomonas phage Kimi,44,56,Unclassified,Unclassified,Unclassified,Sphingomonas,dsDNA,vOTU_4824
MH684921,Sphingomonas phage Scott,43,57,Scottvirus,Unclassified,Autographiviridae,Sphingomonas,dsDNA,vOTU_5079
NC_048029,Sphingomonas phage Scott,43,57,Scottvirus,Unclassified,Autographiviridae,Sphingomonas,dsDNA,vOTU_5079
MN734437,Sphingomonas phage Eidolon,43,55,Unclassified,Unclassified,Unclassified,Sphingomonas,dsDNA,vOTU_4973
MN734439,Sphingomonas phage Kharn,43,56,Unclassified,Unclassified,Unclassified,Sphingomonas,dsDNA,vOTU_4946
NC_073023,Sphingomonas phage Eidolon,43,55,Unclassified,Unclassified,Unclassified,Sphingomonas,dsDNA,vOTU_4973
NC_073024,Sphingomonas phage Kharn,43,56,Unclassified,Unclassified,Unclassified,Sphingomonas,dsDNA,vOTU_4946
MZ127829,Sphingopyxis phage VSN-002,42,62,Unclassified,Unclassified,Unclassified,Sphingopyxis,dsDNA,vOTU_5557
OL689230,Spiroplasma phage MaM-2019a,20,25,Unclassified,Unclassified,Unclassified,Spiroplasma,,vOTU_8020
OL689226,Spiroplasma phage MaM-2019a,19,24,Unclassified,Unclassified,Unclassified,Spiroplasma,,vOTU_8041
OL689227,Spiroplasma phage MaM-2019a,19,24,Unclassified,Unclassified,Unclassified,Spiroplasma,,vOTU_8047
AJ969242,Spiroplasma phage SVGII3,8,23,Virgulavirus,Unclassified,Plectroviridae,Spiroplasma,ssDNA,vOTU_8372
EF506570,Spiroplasma phage SkV1CR23x,8,22,Vespertiliovirus,Unclassified,Plectroviridae,Spiroplasma,ssDNA,vOTU_8373
NC_001365,Spiroplasma phage R8A2B,8,23,Vespertiliovirus,Unclassified,Plectroviridae,Spiroplasma,ssDNA,vOTU_8361
NC_003793,Spiroplasma phage C74,8,23,Vespertiliovirus,Unclassified,Plectroviridae,Spiroplasma,ssDNA,vOTU_8375
NC_073761,Spiroplasma phage SVGII3,8,23,Virgulavirus,Unclassified,Plectroviridae,Spiroplasma,ssDNA,vOTU_8372
SVU28974,Spiroplasma phage C74,8,23,Vespertiliovirus,Unclassified,Plectroviridae,Spiroplasma,ssDNA,vOTU_8375
X51344,Spiroplasma phage R8A2B,8,23,Vespertiliovirus,Unclassified,Plectroviridae,Spiroplasma,ssDNA,vOTU_8361
AF133242,Spiroplasma phage SVTS2,7,23,Suturavirus,Unclassified,Plectroviridae,Spiroplasma,ssDNA,vOTU_8459
NC_001270,Spiroplasma phage SVTS2,7,23,Suturavirus,Unclassified,Plectroviridae,Spiroplasma,ssDNA,vOTU_8459
NC_003438,Spiroplasma phage 4,4,32,Spiromicrovirus,Gokushovirinae,Microviridae,Spiroplasma,ssDNA,vOTU_10517
SPVDNA,Spiroplasma phage 4,4,32,Spiromicrovirus,Gokushovirinae,Microviridae,Spiroplasma,ssDNA,vOTU_10517
MT104122,Sporosarcina phage Lietuvens,65,50,Unclassified,Unclassified,Unclassified,Sporosarcina,dsDNA,vOTU_1924
OR844989,Staphylococcus phage SA 1306 Kay,283,33,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0071
MW349128,Staphylococcus phage Machias,274,25,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0081
OR770614,Staphylococcus phage vB_StaM_PB50,274,25,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0081
MN091626,Staphylococcus phage PALS_2,269,25,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0086
LC680885,Staphylococcus phage S6,267,25,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0086
MW248466,Staphylococcus phage MarsHill,267,25,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0091
MW349129,Staphylococcus phage Madawaska,265,25,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0091
MZ779063,Staphylococcus phage vB_SauM-UFV_DC4,263,25,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0086
MW218148,Staphylococcus phage vB_StaM_SA1,261,27,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0106
OR836606,Staphylococcus phage LY01,259,25,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0109
OR844990,Staphylococcus phage SA 1306 Kay,214,32,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0208
OR844991,Staphylococcus phage SA 1306 Kay,209,32,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0214
OR844992,Staphylococcus phage SA 1306 Kay,183,34,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0278
OR844993,Staphylococcus phage SA 1306 Kay,163,33,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0477
LR215720,Staphylococcus phage Stab23,156,31,Unclassified,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0581
LR215721,Staphylococcus phage Stab22,154,31,Unclassified,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0590
LR215719,Staphylococcus phage Stab21,154,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
OR885926,Staphylococcus phage 184DA,154,31,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0598
OM373548,Staphylococcus phage vB_SpsM-DH2,153,31,Unclassified,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0601
LR215718,Staphylococcus phage Stab20,153,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0602
MT554104,Staphylococcus phage ESa1,153,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
OR844994,Staphylococcus phage SA 1306 Kay,153,33,Unclassified,Unclassified,Unclassified,Staphylococcus,dsDNA,vOTU_0600
MH107769,Staphylococcus phage vB_SauM_0414_108,152,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
MZ427930,Staphylococcus phage SAP23,152,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0612
MH844529,Staphylococcus phage 812h1,151,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
MT411892,Staphylococcus phage Metroid,151,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
OP235318,Staphylococcus phage SYL,151,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0602
MH844528,Staphylococcus phage 812,150,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
JX080302,Staphylococcus phage 676Z,149,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
MG656408,Staphylococcus phage B1,149,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
MH028956,Staphylococcus phage phiSA_BS2,149,30,Baoshanvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0637
MK417515,Staphylococcus virus Sa87,149,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
MN047438,Staphylococcus phage vB_SauM-515A1,149,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
MW546072,Staphylococcus phage 812,149,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
MW546074,Staphylococcus phage PM4,149,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
NC_047724,Staphylococcus phage 676Z,149,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
NC_047948,Staphylococcus phage phiSA_BS2,149,30,Baoshanvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0637
OL362280,Staphylococcus phage SA4_Green-2022a,149,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
OP651044,Staphylococcus phage vb_SaH_Safa,149,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
JX080303,Staphylococcus phage Fi200W,148,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
JX080304,Staphylococcus phage MSA6,148,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
JX080305,Staphylococcus phage P4W,148,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
KF766114,Staphylococcus phage K,148,30,Kayvirus,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0597
OR354822,Staphylococcus phage Alsa_3,148,30,Unclassified,Twortvirinae,Herelleviridae,Staphylococcus,dsDNA,vOTU_0647
